entry_date,exit_date,direction,strategy,score,confidence,entry_spot,exit_spot,entry_prem,exit_prem,pnl_pct,pnl_inr,outcome,exit_reason
2025-04-17,2025-04-22,BULLISH,Long Call,65,0.6134250871143784,23851.650390625,24167.25,357.77,359.347998046875,0.44,78.9,SCRATCH,TIME_EXIT
2025-04-28,2025-05-02,BULLISH,Long Call,65,0.6152466393701936,24328.5,24346.69921875,364.93,365.02099609375,0.02,4.55,SCRATCH,TIME_EXIT
2025-05-08,2025-05-13,BULLISH,Long Call,66,0.6212653567518461,24273.80078125,24578.349609375,364.11,365.632744140625,0.42,76.14,SCRATCH,TIME_EXIT
2025-07-03,2025-07-08,BULLISH,Long Call,66,0.6466448044390753,25405.30078125,25522.5,381.08,381.66599609375,0.15,29.3,SCRATCH,TIME_EXIT
2025-08-19,2025-08-22,BULLISH,Long Call,66,0.6268033539433222,24980.650390625,24870.099609375,374.71,374.15724609374996,-0.15,-27.64,SCRATCH,TIME_EXIT
2025-08-25,2025-08-29,BULLISH,Long Call,65,0.6086586154117545,24967.75,24426.849609375,374.52,371.815498046875,-0.72,-135.23,SCRATCH,TIME_EXIT
2025-09-08,2025-09-12,BULLISH,Long Call,66,0.6204019963133797,24773.150390625,25114.0,371.6,373.30424804687505,0.46,85.21,SCRATCH,TIME_EXIT
2025-10-14,2025-10-17,BULLISH,Long Call,66,0.6470321371601009,25145.5,25709.849609375,377.18,380.001748046875,0.75,141.09,SCRATCH,TIME_EXIT
2025-11-03,2025-11-07,BULLISH,Long Call,66,0.6379677659181473,25763.349609375,25492.30078125,386.45,385.09475585937497,-0.35,-67.76,SCRATCH,TIME_EXIT
2025-12-24,2025-12-29,BULLISH,Long Call,66,0.6233038028642794,26142.099609375,25942.099609375,392.13,391.13,-0.26,-50.0,SCRATCH,TIME_EXIT
2026-01-05,2026-01-09,BULLISH,Long Call,66,0.63356627609778,26250.30078125,25683.30078125,393.75,390.915,-0.72,-141.75,SCRATCH,TIME_EXIT
2026-02-05,2026-02-10,BULLISH,Long Call,65,0.6182500452150169,25642.80078125,25935.150390625,384.64,386.101748046875,0.38,73.09,SCRATCH,TIME_EXIT
2026-02-11,2026-02-16,BULLISH,Long Call,66,0.6467913700837067,25953.849609375,25682.75,389.31,387.954501953125,-0.35,-67.77,SCRATCH,TIME_EXIT
2026-04-08,2026-04-13,BULLISH,Long Call,66,0.6334271907906152,23997.349609375,23842.650390625,359.96,359.18650390625,-0.21,-38.67,SCRATCH,TIME_EXIT
2026-04-17,2026-04-22,BULLISH,Long Call,65,0.6068257738934935,24353.55078125,24378.099609375,365.3,365.422744140625,0.03,6.14,SCRATCH,TIME_EXIT
2026-04-27,2026-04-30,BULLISH,Long Call,66,0.6410588326046294,24092.69921875,23997.55078125,361.39,360.9142578125,-0.13,-23.79,SCRATCH,TIME_EXIT
2026-05-04,2026-05-08,BULLISH,Long Call,65,0.6151500256394266,24119.30078125,24176.150390625,361.79,362.074248046875,0.08,14.21,SCRATCH,TIME_EXIT
2026-05-25,2026-05-29,BULLISH,Long Call,66,0.6326799026478143,24031.69921875,23547.75,360.48,358.06025390625,-0.67,-120.99,SCRATCH,TIME_EXIT
